id,name,address,city
1,Grand Hotel,123 Ocean Drive,Miami
2,Mountain View Inn,456 Hilltop Road,Boulder
3,Lakeside Retreat,789 Lake Shore,Chicago
4,The Urban Lodge,101 City Center Ave,New York
5,Countryside Escape,234 Farm Lane,Austin
6,Desert Oasis,567 Sunbeam Blvd,Phoenix
7,Coastal Breeze Hotel,890 Beachfront Rd,San Diego
8,Heritage Inn,135 History Lane,Philadelphia
9,Cityscape Suites,246 Skyline Dr,Los Angeles
10,Riverbank Hotel,357 River Rd,Nashville
11,Starry Night Resort,468 Twilight Ave,Seattle
12,The Vintage Place,579 Antique St,Boston
13,Modern Comforts,680 Future Blvd,San Francisco
14,Summit Peak Lodge,791 Summit St,Denver
15,Seaside Haven,902 Wave Crest,Orlando
16,The Royal Palace,213 Royal St,Washington
17,Harmony Hotel,324 Peaceful Way,Portland
18,The Greenhouse Inn,435 Nature Rd,Atlanta
19,The Cozy Cabin,546 Woodsy Ln,Jackson
20,The Scenic View,657 Outlook Dr,Charleston
21,Sunset Bay Hotel,768 Evening Star,Miami Beach
22,The Classic Inn,879 Timeless St,New Orleans
23,The Harbor House,980 Dockside Dr,San Francisco
24,The Urban Escape,1010 Urban Way,Chicago
25,The Enchanted Cottage,1111 Fairy Tale Ln,Austin
26,Cascade Falls Resort,1212 Waterfall Rd,Boulder
27,Mountain Ridge Hotel,1313 Peak Dr,Denver
28,The Palm Tree Inn,1414 Tropical St,Los Angeles
29,The Waterfront Lodge,1515 Marina Blvd,Seattle
30,The Dreamer’s Retreat,1616 Dreamland Ave,Portland
31,The Rustic Charm,1717 Country Rd,Nashville
32,The Blissful Escape,1818 Joyful Ln,Orlando
33,The Modern Oasis,1919 Chic Blvd,Boston
34,The Harbor View,2020 Bayfront St,New York
35,The Timeless Hotel,2121 Classic Ave,San Diego
36,The Hidden Gem,2222 Secret St,Miami
37,The Sunset Inn,2323 Twilight Way,Charleston
38,The Serene Stay,2424 Calm Ln,Phoenix
39,The Elegant Suite,2525 Luxury Rd,Philadelphia
40,The Cozy Corner,2626 Warmth St,Atlanta
41,The Royal Retreat,2727 Kings Rd,New Orleans
42,The Sapphire Hotel,2828 Blue St,Seattle
43,The Hilltop Lodge,2929 Summit Rd,Boulder
44,The Beachfront Resort,3030 Ocean Ave,Miami Beach
45,The Maple Inn,3131 Leafy Ln,Austin
46,The Vineyard Inn,3232 Grape St,Napa
47,The Forest Lodge,3333 Woodland Dr,Jackson
48,The Central Hub,3434 Main St,Chicago
49,The Comfort Zone,3535 Cozy Ave,Denver
50,The Rainbow Hotel,3636 Colorful Rd,Orlando
51,The Sapphire Inn,3737 Gem St,Los Angeles
52,The Rustic Retreat,3838 Cabin Rd,Portland
53,The Ocean View Hotel,3939 Shoreline Dr,San Diego
54,The Harmony Lodge,4040 Symphony Way,Nashville
55,The Gateway Hotel,4141 Entry St,Boston
56,The Oasis Inn,4242 Refreshing Rd,Seattle
57,The Celebration Suites,4343 Party St,New Orleans
58,The Golden Sands,4444 Sand Dunes,Miami Beach
59,The Vintage Lodge,4545 Old Town Rd,Austin
60,The Skyline Inn,4646 Horizon Blvd,Los Angeles
61,The Executive Suites,4747 Business Rd,New York
62,The River Retreat,4848 Streamside Dr,Philadelphia
63,The Seaside Lodge,4949 Coastline St,Orlando
64,The Majestic Hotel,5050 Grandeur Blvd,Denver
65,The Tranquil Stay,5151 Peace Rd,Jackson
66,The High Rise Hotel,5252 Viewpoint St,Chicago
67,The Coastal Inn,5353 Beachy Ave,San Diego
68,The Garden Retreat,5454 Floral Blvd,Nashville
69,The Maple Leaf Inn,5555 Leafy Dr,Seattle
70,The Modern Haven,5656 Contemporary St,Portland
71,The Artistic Suite,5757 Creative Ln,Boston
72,The Harbor Lodge,5858 Dock St,Miami
73,The Sunny Spot,5959 Bright Ave,Austin
74,The Downtown Inn,6060 City Sq,Los Angeles
75,The Family Haven,6161 Kinship Rd,Orlando
76,The Wellness Retreat,6262 Health St,Denver
77,The Retro Hotel,6363 Nostalgia Ln,New Orleans
78,The Natural Lodge,6464 Eco Rd,San Francisco
79,The Culinary Inn,6565 Foodie Blvd,Seattle
80,The Cozy Stay,6666 Homey Ln,Jackson
81,The Urban Haven,6767 Metropolis St,Philadelphia
82,The Luxe Hotel,6868 Elegance Blvd,Miami
83,The Sailor’s Rest,6969 Nautical St,San Diego
84,The Coastal Escape,7070 Shoreline Dr,Nashville
85,The Hillside Lodge,7171 Heights Blvd,Austin
86,The Serene Escape,7272 Relax Rd,Boston
87,The Chic Suite,7373 Fashion Ave,Portland
88,The Retreat House,7474 Getaway St,Denver
89,The Harbor Inn,7575 Waterside Way,Orlando
90,The Lighthouse Hotel,7676 Beacon St,Seattle
91,The Scenic Lodge,7777 Panorama Rd,Los Angeles
92,The Grand Vista,7878 Outlook Ave,New York
93,The Oasis Retreat,7979 Refresh Rd,Miami
94,The Riverbend Hotel,8080 Riverside Dr,Philadelphia
95,The Vista Hotel,8181 Horizon St,Nashville
96,The Coastal Lodge,8282 Bayfront Blvd,Austin
97,The Harmony Suites,8383 Melodic Way,Chicago
98,The Blue Lagoon,8484 Aqua St,San Diego
99,The Hidden Paradise,8585 Secret Cove,Portland
100,The Serenity Inn,8686 Calm Waters Dr,Jackson
